1,-0.2294388,0.1707711,-0.06688071,0.1007574
-0.1593234,-0.01994297,-0.08387934,-0.1584424,-0.07506885
-0.2634378,-0.1729626,-0.2934882,0.1837916,0.31382
-0.2294388,1,-0.7221165,0.559807,-0.6181761
0.4431807,0.1434245,0.3516235,0.3418403,0.4263375
0.06650198,0.5386761,-0.01332414,-0.5993719,0.2886354
0.1707711,-0.7221165,1,-0.6829213,0.3543252
-0.3232367,-0.04508054,-0.09085037,-0.10873,-0.6798386
0.05505832,-0.3929271,0.1218958,0.451966,-0.3331951
-0.06688071,0.559807,-0.6829213,1,-0.4605329
0.1651942,-0.1178209,-0.092094,-0.1367547,0.6377517
-0.05161373,0.2923643,-0.1832655,-0.3825644,0.2806513
0.1007574,-0.6181761,0.3543252,-0.4605329,1
-0.366985,-0.07413051,-0.1359332,-0.2266597,-0.1479558
0.05311808,-0.4153685,0.01806763,0.4469914,-0.1931473
-0.1593234,0.4431807,-0.3232367,0.1651942,-0.366985
1,0.2909593,0.09694633,-0.02910883,0.3498221
0.04376442,0.2394539,0.07956036,-0.2369762,0.1213796
-0.01994297,0.1434245,-0.04508054,-0.1178209,-0.07413051
0.2909593,1,-0.01998407,0.03937096,0.0001717093
-0.1295706,0.006273571,-0.1392088,-0.01560685,0.1930222
-0.08387934,0.3516235,-0.09085037,-0.092094,-0.1359332
0.09694633,-0.01998407,1,0.2764831,-0.2058637
0.1797797,0.1937587,0.09102652,-0.1700373,-0.04614147
-0.1584424,0.3418403,-0.10873,-0.1367547,-0.2266597
-0.02910883,0.03937096,0.2764831,1,-0.3460025
0.115474,0.2766434,0.1176872,-0.2813053,0.07903366
-0.07506885,0.4263375,-0.6798386,0.6377517,-0.1479558
0.3498221,0.0001717093,-0.2058637,-0.3460025,1
-0.1288503,0.15688,-0.2054698,-0.2230972,0.2623908
-0.2634378,0.06650198,0.05505832,-0.05161373,0.05311808
0.04376442,-0.1295706,0.1797797,0.115474,-0.1288503
1,0.2989549,0.2598586,-0.2728098,-0.3622642
-0.1729626,0.5386761,-0.3929271,0.2923643,-0.4153685
0.2394539,0.006273571,0.1937587,0.2766434,0.15688
0.2989549,1,-0.07141594,-0.8615555,0.2393976
-0.2934882,-0.01332414,0.1218958,-0.1832655,0.01806763
0.07956036,-0.1392088,0.09102652,0.1176872,-0.2054698
0.2598586,-0.07141594,1,0.1490846,-0.5437539
0.1837916,-0.5993719,0.451966,-0.3825644,0.4469914
-0.2369762,-0.01560685,-0.1700373,-0.2813053,-0.2230972
-0.2728098,-0.8615555,0.1490846,1,-0.3232463
0.31382,0.2886354,-0.3331951,0.2806513,-0.1931473
0.1213796,0.1930222,-0.04614147,0.07903366,0.2623908
-0.3622642,0.2393976,-0.5437539,-0.3232463,1
