"","yellowhammers","shrikes","date","time","areasize","cuttingdate","grass","spruce","shrubs","birch","raspberry","branches","bare","stones","vegheight"
"yellowhammers",1,0.0762289145269527,0.00692123287313349,-0.0295355567757684,0.302276596806161,NA,-0.254554068328431,0.349789138744372,-0.00793221642285059,-0.00817338547781825,-0.0660853279459947,-0.130577200855286,-0.267122812012632,-0.33042132243606,0.412372716937386
"shrikes",0.0762289145269527,1,-0.0223980463145456,0.148953145530694,0.230912652171923,NA,-0.0319486621535611,-0.0555228699635711,-0.0172151360341444,-0.0352820057024309,0.0539619385301832,0.157875812986701,0.0321095161107939,0.0666417368814877,-0.108811703830149
"date",0.00692123287313349,-0.0223980463145456,1,-0.135890155600083,-0.187899039163402,NA,0.0100480974788718,0.108567561032832,0.0122940472387423,0.0206035550679023,-0.0902925738241859,-0.100610430737957,-0.031048158325388,-0.169781945642856,0.0891703283905859
"time",-0.0295355567757684,0.148953145530694,-0.135890155600083,1,0.155618859884561,NA,0.0257346251511469,-0.0165887717649276,0.0294931497900206,-0.138681389611665,-0.0837412670493533,0.127256256818459,0.0277383139114972,-0.0682294960076668,-0.171136375187104
"areasize",0.302276596806161,0.230912652171923,-0.187899039163402,0.155618859884561,1,NA,0.170771069041947,-0.0668807121557703,0.100757372541046,-0.159323366152879,-0.0199429703704833,-0.0838793371604977,-0.158442373431531,0.135204763881153,-0.0750688477068879
"cuttingdate",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"grass",-0.254554068328431,-0.0319486621535611,0.0100480974788718,0.0257346251511469,0.170771069041947,NA,1,-0.682921256135101,0.354325154392556,-0.323236690047618,-0.0450805429857726,-0.0908503694068022,-0.108730008948593,0.242042096134043,-0.679838621531113
"spruce",0.349789138744372,-0.0555228699635711,0.108567561032832,-0.0165887717649276,-0.0668807121557703,NA,-0.682921256135101,1,-0.460532882066229,0.165194177541606,-0.117820889480976,-0.0920939975426138,-0.136754708887952,-0.413473493323708,0.637751661985432
"shrubs",-0.00793221642285059,-0.0172151360341444,0.0122940472387423,0.0294931497900206,0.100757372541046,NA,0.354325154392556,-0.460532882066229,1,-0.366985036468095,-0.074130509831928,-0.13593317867914,-0.226659702263729,0.00983347464645416,-0.147955788670553
"birch",-0.00817338547781825,-0.0352820057024309,0.0206035550679023,-0.138681389611665,-0.159323366152879,NA,-0.323236690047618,0.165194177541606,-0.366985036468095,1,0.290959314110562,0.096946330854627,-0.0291088302243232,-0.0354903225607251,0.34982207082466
"raspberry",-0.0660853279459947,0.0539619385301832,-0.0902925738241859,-0.0837412670493533,-0.0199429703704833,NA,-0.0450805429857726,-0.117820889480976,-0.074130509831928,0.290959314110562,1,-0.019984073337039,0.0393709556833521,0.101778510439252,0.00017170934221745
"branches",-0.130577200855286,0.157875812986701,-0.100610430737957,0.127256256818459,-0.0838793371604977,NA,-0.0908503694068022,-0.0920939975426138,-0.13593317867914,0.096946330854627,-0.019984073337039,1,0.276483097663743,0.151095889860842,-0.205863706543883
"bare",-0.267122812012632,0.0321095161107939,-0.031048158325388,0.0277383139114972,-0.158442373431531,NA,-0.108730008948593,-0.136754708887952,-0.226659702263729,-0.0291088302243232,0.0393709556833521,0.276483097663743,1,0.272934626395835,-0.346002459261901
"stones",-0.33042132243606,0.0666417368814877,-0.169781945642856,-0.0682294960076668,0.135204763881153,NA,0.242042096134043,-0.413473493323708,0.00983347464645416,-0.0354903225607251,0.101778510439252,0.151095889860842,0.272934626395835,1,-0.343970457446914
"vegheight",0.412372716937386,-0.108811703830149,0.0891703283905859,-0.171136375187104,-0.0750688477068879,NA,-0.679838621531113,0.637751661985432,-0.147955788670553,0.34982207082466,0.00017170934221745,-0.205863706543883,-0.346002459261901,-0.343970457446914,1
